Datetime,AAPL
2025-10-20 13:30:00+00:00,258.3999938964844
2025-10-20 13:35:00+00:00,258.29998779296875
2025-10-20 13:40:00+00:00,258.4599914550781
2025-10-20 13:45:00+00:00,258.0950012207031
2025-10-20 13:50:00+00:00,258.8900146484375
2025-10-20 13:55:00+00:00,258.9775085449219
2025-10-20 14:00:00+00:00,258.8800048828125
2025-10-20 14:05:00+00:00,258.4800109863281
2025-10-20 14:10:00+00:00,258.6600036621094
2025-10-20 14:15:00+00:00,258.4599914550781
2025-10-20 14:20:00+00:00,258.864990234375
2025-10-20 14:25:00+00:00,259.5050048828125
2025-10-20 14:30:00+00:00,259.6000061035156
2025-10-20 14:35:00+00:00,259.5849914550781
2025-10-20 14:40:00+00:00,259.70001220703125
2025-10-20 14:45:00+00:00,260.4700012207031
2025-10-20 14:50:00+00:00,261.2099914550781
2025-10-20 14:55:00+00:00,261.5799865722656
2025-10-20 15:00:00+00:00,262.7099914550781
2025-10-20 15:05:00+00:00,262.5199890136719
2025-10-20 15:10:00+00:00,262.7699890136719
2025-10-20 15:15:00+00:00,263.1400146484375
2025-10-20 15:20:00+00:00,263.25
2025-10-20 15:25:00+00:00,262.57000732421875
2025-10-20 15:30:00+00:00,263.04998779296875
2025-10-20 15:35:00+00:00,263.42010498046875
2025-10-20 15:40:00+00:00,263.5487976074219
2025-10-20 15:45:00+00:00,264.20001220703125
2025-10-20 15:50:00+00:00,264.04998779296875
2025-10-20 15:55:00+00:00,263.30999755859375
2025-10-20 16:00:00+00:00,263.4599914550781
2025-10-20 16:05:00+00:00,263.6310119628906
2025-10-20 16:10:00+00:00,263.11639404296875
2025-10-20 16:15:00+00:00,263.260009765625
2025-10-20 16:20:00+00:00,263.07000732421875
2025-10-20 16:25:00+00:00,263.489990234375
2025-10-20 16:30:00+00:00,263.4601135253906
2025-10-20 16:35:00+00:00,263.2900085449219
2025-10-20 16:40:00+00:00,262.79998779296875
2025-10-20 16:45:00+00:00,262.9100036621094
2025-10-20 16:50:00+00:00,263.45001220703125
2025-10-20 16:55:00+00:00,263.6199951171875
2025-10-20 17:00:00+00:00,263.94500732421875
2025-10-20 17:05:00+00:00,264.1400146484375
2025-10-20 17:10:00+00:00,263.3497009277344
2025-10-20 17:15:00+00:00,263.42999267578125
2025-10-20 17:20:00+00:00,263.25
2025-10-20 17:25:00+00:00,263.1650085449219
2025-10-20 17:30:00+00:00,263.04998779296875
2025-10-20 17:35:00+00:00,263.0686950683594
2025-10-20 17:40:00+00:00,263.0350036621094
2025-10-20 17:45:00+00:00,263.3399963378906
2025-10-20 17:50:00+00:00,262.989990234375
2025-10-20 17:55:00+00:00,262.92498779296875
2025-10-20 18:00:00+00:00,263.3500061035156
2025-10-20 18:05:00+00:00,263.20001220703125
2025-10-20 18:10:00+00:00,263.6701965332031
2025-10-20 18:15:00+00:00,263.5299987792969
2025-10-20 18:20:00+00:00,263.7300109863281
2025-10-20 18:25:00+00:00,263.7300109863281
2025-10-20 18:30:00+00:00,263.5450134277344
2025-10-20 18:35:00+00:00,263.5
2025-10-20 18:40:00+00:00,263.3699951171875
2025-10-20 18:45:00+00:00,263.239990234375
2025-10-20 18:50:00+00:00,263.1700134277344
2025-10-20 18:55:00+00:00,263.2799987792969
2025-10-20 19:00:00+00:00,263.58819580078125
2025-10-20 19:05:00+00:00,263.739990234375
2025-10-20 19:10:00+00:00,263.5
2025-10-20 19:15:00+00:00,263.44000244140625
2025-10-20 19:20:00+00:00,263.4100036621094
2025-10-20 19:25:00+00:00,263.4200134277344
2025-10-20 19:30:00+00:00,263.7099914550781
2025-10-20 19:35:00+00:00,263.7900085449219
2025-10-20 19:40:00+00:00,263.5350036621094
2025-10-20 19:45:00+00:00,263.6449890136719
2025-10-20 19:50:00+00:00,262.8100891113281
2025-10-20 19:55:00+00:00,262.2300109863281
2025-10-21 13:30:00+00:00,263.30999755859375
2025-10-21 13:35:00+00:00,264.739990234375
2025-10-21 13:40:00+00:00,264.3999938964844
2025-10-21 13:45:00+00:00,263.67498779296875
2025-10-21 13:50:00+00:00,263.572998046875
2025-10-21 13:55:00+00:00,263.80499267578125
2025-10-21 14:00:00+00:00,264.2101135253906
2025-10-21 14:05:00+00:00,264.5
2025-10-21 14:10:00+00:00,263.7900085449219
2025-10-21 14:15:00+00:00,263.8500061035156
2025-10-21 14:20:00+00:00,264.0
2025-10-21 14:25:00+00:00,263.4999084472656
2025-10-21 14:30:00+00:00,263.3900146484375
2025-10-21 14:35:00+00:00,263.4599914550781
2025-10-21 14:40:00+00:00,262.9100036621094
2025-10-21 14:45:00+00:00,263.0350036621094
2025-10-21 14:50:00+00:00,262.7200012207031
